image_path,cluster
/kaggle/working/sample_dataset/images/d5/d5/4731482952.jpg,11
/kaggle/working/sample_dataset/images/d5/e7/6041336481.jpg,2
/kaggle/working/sample_dataset/images/d5/fe/210665430.jpg,2
/kaggle/working/sample_dataset/images/d5/d2/5680239165.jpg,8
/kaggle/working/sample_dataset/images/d5/b4/5803505830.jpg,1
/kaggle/working/sample_dataset/images/d5/fd/432941990.jpg,19
/kaggle/working/sample_dataset/images/d5/86/8108990342.jpg,2
/kaggle/working/sample_dataset/images/d5/9c/3151805308.jpg,12
/kaggle/working/sample_dataset/images/d5/8d/5660277402.jpg,2
/kaggle/working/sample_dataset/images/ae/3a/3687230671.jpg,9
/kaggle/working/sample_dataset/images/ae/ac/3726692667.jpg,7
/kaggle/working/sample_dataset/images/ae/ac/5582466081.jpg,0
/kaggle/working/sample_dataset/images/ae/1a/5206801525.jpg,12
/kaggle/working/sample_dataset/images/ae/8f/2873911554.jpg,5
/kaggle/working/sample_dataset/images/ae/e0/8745188533.jpg,14
/kaggle/working/sample_dataset/images/ae/a5/7554930068.jpg,5
/kaggle/working/sample_dataset/images/ae/1e/5257352030.jpg,11
/kaggle/working/sample_dataset/images/ae/f5/5915368208.jpg,13
/kaggle/working/sample_dataset/images/ae/07/5675721368.jpg,7
/kaggle/working/sample_dataset/images/54/e3/5244041486.jpg,7
/kaggle/working/sample_dataset/images/54/51/9463075617.jpg,15
/kaggle/working/sample_dataset/images/54/05/6787245949.jpg,2
/kaggle/working/sample_dataset/images/54/c3/1181832808.jpg,19
/kaggle/working/sample_dataset/images/54/95/7983235257.jpg,3
/kaggle/working/sample_dataset/images/54/42/7476380476.jpg,3
/kaggle/working/sample_dataset/images/54/e1/9061053105.jpg,6
/kaggle/working/sample_dataset/images/3a/5d/404330859.jpg,11
/kaggle/working/sample_dataset/images/3a/5a/200644721.jpg,2
/kaggle/working/sample_dataset/images/3a/c8/3585020023.jpg,15
/kaggle/working/sample_dataset/images/3a/97/2291913422.jpg,12
/kaggle/working/sample_dataset/images/3a/3b/5219962928.jpg,17
/kaggle/working/sample_dataset/images/3a/d6/8719371730.jpg,10
/kaggle/working/sample_dataset/images/3a/dc/5572535884.jpg,12
/kaggle/working/sample_dataset/images/e3/09/2413017084.jpg,2
/kaggle/working/sample_dataset/images/e3/ff/3476392131.jpg,7
/kaggle/working/sample_dataset/images/e3/e4/265365590.jpg,16
/kaggle/working/sample_dataset/images/e3/1e/6978900023.jpg,9
/kaggle/working/sample_dataset/images/e3/5a/2668485047.jpg,18
/kaggle/working/sample_dataset/images/e3/19/7244306416.jpg,1
/kaggle/working/sample_dataset/images/e3/06/4411980978.jpg,1
/kaggle/working/sample_dataset/images/e3/b8/8088610217.jpg,9
/kaggle/working/sample_dataset/images/e3/f5/2316066156.jpg,17
/kaggle/working/sample_dataset/images/e3/7a/5013168365.jpg,5
/kaggle/working/sample_dataset/images/e3/20/8344688653.jpg,2
/kaggle/working/sample_dataset/images/e3/80/5875566478.jpg,0
/kaggle/working/sample_dataset/images/e3/70/3347876580.jpg,6
/kaggle/working/sample_dataset/images/04/bc/5324432977.jpg,2
/kaggle/working/sample_dataset/images/04/58/5400041063.jpg,4
/kaggle/working/sample_dataset/images/04/39/4080811353.jpg,4
/kaggle/working/sample_dataset/images/04/87/4546340796.jpg,3
/kaggle/working/sample_dataset/images/04/8c/5868207713.jpg,13
/kaggle/working/sample_dataset/images/04/bf/4266654510.jpg,7
/kaggle/working/sample_dataset/images/04/72/8051489073.jpg,2
/kaggle/working/sample_dataset/images/0d/9f/497830618.jpg,10
/kaggle/working/sample_dataset/images/0d/53/1015770642.jpg,15
/kaggle/working/sample_dataset/images/0d/85/153752450.jpg,1
/kaggle/working/sample_dataset/images/0d/48/8093471795.jpg,9
/kaggle/working/sample_dataset/images/0d/16/4515349827.jpg,3
/kaggle/working/sample_dataset/images/0d/d0/478978577.jpg,4
/kaggle/working/sample_dataset/images/a7/cc/1167662570.jpg,1
/kaggle/working/sample_dataset/images/a7/ad/1577940934.jpg,3
/kaggle/working/sample_dataset/images/a7/c7/8121033079.jpg,1
/kaggle/working/sample_dataset/images/a7/a6/8524093867.jpg,10
/kaggle/working/sample_dataset/images/a7/97/8420092237.jpg,2
/kaggle/working/sample_dataset/images/a7/85/2071872059.jpg,3
/kaggle/working/sample_dataset/images/a7/47/12155349596.jpg,8
/kaggle/working/sample_dataset/images/a7/01/2145678177.jpg,18
/kaggle/working/sample_dataset/images/a7/b6/454435864.jpg,13
/kaggle/working/sample_dataset/images/a7/96/7149413331.jpg,10
/kaggle/working/sample_dataset/images/a7/92/3067316507.jpg,5
/kaggle/working/sample_dataset/images/30/0d/8474398053.jpg,13
/kaggle/working/sample_dataset/images/30/09/5591294324.jpg,16
/kaggle/working/sample_dataset/images/30/05/5442613071.jpg,18
/kaggle/working/sample_dataset/images/30/c2/2955051042.jpg,7
/kaggle/working/sample_dataset/images/30/99/181868181.jpg,14
/kaggle/working/sample_dataset/images/30/42/5646143589.jpg,9
/kaggle/working/sample_dataset/images/30/4c/2997945079.jpg,1
/kaggle/working/sample_dataset/images/30/22/1277269930.jpg,6
/kaggle/working/sample_dataset/images/b7/54/139018112.jpg,0
/kaggle/working/sample_dataset/images/b7/52/7303212842.jpg,19
/kaggle/working/sample_dataset/images/b7/cf/2939632008.jpg,9
/kaggle/working/sample_dataset/images/b7/99/4879193688.jpg,2
/kaggle/working/sample_dataset/images/b7/82/254494733.jpg,9
/kaggle/working/sample_dataset/images/b7/c0/4847945482.jpg,4
/kaggle/working/sample_dataset/images/b7/13/4300053745.jpg,19
/kaggle/working/sample_dataset/images/b7/20/8337896998.jpg,15
/kaggle/working/sample_dataset/images/2c/23/4122695810.jpg,0
/kaggle/working/sample_dataset/images/2c/ee/3084366316.jpg,0
/kaggle/working/sample_dataset/images/2c/fd/6122122773.jpg,7
/kaggle/working/sample_dataset/images/2c/41/5284169779.jpg,2
/kaggle/working/sample_dataset/images/2c/b8/173405354.jpg,15
/kaggle/working/sample_dataset/images/2c/92/4732817433.jpg,6
/kaggle/working/sample_dataset/images/2c/68/2742347600.jpg,3
/kaggle/working/sample_dataset/images/be/90/34874422.jpg,17
/kaggle/working/sample_dataset/images/be/9f/2502504504.jpg,5
/kaggle/working/sample_dataset/images/be/c2/5669418276.jpg,15
/kaggle/working/sample_dataset/images/be/28/3546744226.jpg,2
/kaggle/working/sample_dataset/images/be/28/4315255734.jpg,4
/kaggle/working/sample_dataset/images/be/b3/1178374121.jpg,19
/kaggle/working/sample_dataset/images/be/96/7976113388.jpg,1
/kaggle/working/sample_dataset/images/be/7b/4403919103.jpg,2
/kaggle/working/sample_dataset/images/be/b0/6774403141.jpg,2
/kaggle/working/sample_dataset/images/40/ae/9188854495.jpg,14
/kaggle/working/sample_dataset/images/40/cf/5915462908.jpg,1
/kaggle/working/sample_dataset/images/40/29/1130544830.jpg,2
/kaggle/working/sample_dataset/images/40/49/217459636.jpg,2
/kaggle/working/sample_dataset/images/40/3e/3385043287.jpg,5
/kaggle/working/sample_dataset/images/40/c4/2132013450.jpg,15
/kaggle/working/sample_dataset/images/23/5a/6202338906.jpg,14
/kaggle/working/sample_dataset/images/23/c0/8552056756.jpg,10
/kaggle/working/sample_dataset/images/23/97/2839530850.jpg,1
/kaggle/working/sample_dataset/images/23/df/235471337.jpg,18
/kaggle/working/sample_dataset/images/23/eb/6702904547.jpg,16
/kaggle/working/sample_dataset/images/35/23/3378787191.jpg,2
/kaggle/working/sample_dataset/images/35/bc/470461102.jpg,8
/kaggle/working/sample_dataset/images/35/2a/4650710939.jpg,9
/kaggle/working/sample_dataset/images/35/75/5540094435.jpg,2
/kaggle/working/sample_dataset/images/35/8f/8637272545.jpg,1
/kaggle/working/sample_dataset/images/35/14/4639150670.jpg,19
/kaggle/working/sample_dataset/images/35/fb/7663873128.jpg,16
/kaggle/working/sample_dataset/images/35/d6/6880012976.jpg,6
/kaggle/working/sample_dataset/images/35/26/3747327377.jpg,4
/kaggle/working/sample_dataset/images/90/42/899784787.jpg,15
/kaggle/working/sample_dataset/images/90/cb/3589352786.jpg,1
/kaggle/working/sample_dataset/images/90/97/3700901792.jpg,3
/kaggle/working/sample_dataset/images/ba/0e/3730511958.jpg,7
/kaggle/working/sample_dataset/images/ba/b9/3793869472.jpg,9
/kaggle/working/sample_dataset/images/ba/e5/371282266.jpg,10
/kaggle/working/sample_dataset/images/ba/2e/1312077730.jpg,0
/kaggle/working/sample_dataset/images/ba/82/4928227584.jpg,3
/kaggle/working/sample_dataset/images/ba/b5/5797436332.jpg,2
/kaggle/working/sample_dataset/images/ba/62/4322685766.jpg,11
/kaggle/working/sample_dataset/images/ba/8c/2642873331.jpg,5
/kaggle/working/sample_dataset/images/ba/b1/623239141.jpg,3
/kaggle/working/sample_dataset/images/ba/c6/1218717458.jpg,2
/kaggle/working/sample_dataset/images/a4/69/214440490.jpg,18
/kaggle/working/sample_dataset/images/a4/6e/12350066884.jpg,2
/kaggle/working/sample_dataset/images/a4/a6/6951029097.jpg,15
/kaggle/working/sample_dataset/images/a4/ea/7845902918.jpg,12
/kaggle/working/sample_dataset/images/a4/08/239139970.jpg,2
/kaggle/working/sample_dataset/images/a4/fd/5118406662.jpg,7
/kaggle/working/sample_dataset/images/a4/64/501932768.jpg,5
/kaggle/working/sample_dataset/images/a4/4c/5677073811.jpg,19
/kaggle/working/sample_dataset/images/27/d5/4807164857.jpg,12
/kaggle/working/sample_dataset/images/27/f4/829873274.jpg,8
/kaggle/working/sample_dataset/images/27/e2/3556104391.jpg,4
/kaggle/working/sample_dataset/images/27/e8/43183448.jpg,9
/kaggle/working/sample_dataset/images/27/cb/5427456976.jpg,2
/kaggle/working/sample_dataset/images/27/92/2475793820.jpg,1
/kaggle/working/sample_dataset/images/27/2f/13873462535.jpg,8
/kaggle/working/sample_dataset/images/bc/f7/3406674461.jpg,13
/kaggle/working/sample_dataset/images/bc/5f/6245450250.jpg,11
/kaggle/working/sample_dataset/images/bc/9f/5738483598.jpg,7
/kaggle/working/sample_dataset/images/bc/fc/223429126.jpg,10
/kaggle/working/sample_dataset/images/bc/e7/12715208434.jpg,5
/kaggle/working/sample_dataset/images/bc/0b/6700644699.jpg,6
/kaggle/working/sample_dataset/images/bc/13/229772183.jpg,14
/kaggle/working/sample_dataset/images/bc/fa/2091245316.jpg,8
/kaggle/working/sample_dataset/images/bc/df/4180539502.jpg,10
/kaggle/working/sample_dataset/images/3c/51/2488156920.jpg,14
/kaggle/working/sample_dataset/images/3c/43/4476248327.jpg,2
/kaggle/working/sample_dataset/images/3c/7f/2241688688.jpg,2
/kaggle/working/sample_dataset/images/3c/7f/6654486449.jpg,9
/kaggle/working/sample_dataset/images/3c/76/11244199895.jpg,7
/kaggle/working/sample_dataset/images/3c/f6/3920986633.jpg,11
/kaggle/working/sample_dataset/images/0e/3a/8711150074.jpg,11
/kaggle/working/sample_dataset/images/0e/60/2276855135.jpg,12
/kaggle/working/sample_dataset/images/0e/a9/4086677653.jpg,11
/kaggle/working/sample_dataset/images/0e/9b/11217902413.jpg,13
/kaggle/working/sample_dataset/images/0e/1e/5189662076.jpg,2
/kaggle/working/sample_dataset/images/0e/6d/2767421960.jpg,11
/kaggle/working/sample_dataset/images/0e/e1/12051531145.jpg,11
/kaggle/working/sample_dataset/images/74/ba/3805701778.jpg,2
/kaggle/working/sample_dataset/images/74/9f/11562607305.jpg,11
/kaggle/working/sample_dataset/images/74/8b/5873963296.jpg,14
/kaggle/working/sample_dataset/images/74/cd/8749190860.jpg,9
/kaggle/working/sample_dataset/images/74/84/6241569445.jpg,4
/kaggle/working/sample_dataset/images/f7/54/12300981833.jpg,2
/kaggle/working/sample_dataset/images/f7/60/2664850896.jpg,2
/kaggle/working/sample_dataset/images/f7/b4/2439880310.jpg,2
/kaggle/working/sample_dataset/images/f7/56/6038700844.jpg,9
/kaggle/working/sample_dataset/images/f7/a6/5181924538.jpg,8
/kaggle/working/sample_dataset/images/f7/ec/3153521676.jpg,1
/kaggle/working/sample_dataset/images/f7/08/5966506834.jpg,15
/kaggle/working/sample_dataset/images/b9/40/629196792.jpg,9
/kaggle/working/sample_dataset/images/b9/74/8241781126.jpg,1
/kaggle/working/sample_dataset/images/b9/2a/3181887115.jpg,9
/kaggle/working/sample_dataset/images/b9/6a/6178937834.jpg,1
/kaggle/working/sample_dataset/images/b9/15/2779606294.jpg,13
/kaggle/working/sample_dataset/images/b9/62/8537910509.jpg,9
/kaggle/working/sample_dataset/images/b9/78/6834862535.jpg,9
/kaggle/working/sample_dataset/images/b9/7a/160950360.jpg,10
/kaggle/working/sample_dataset/images/b9/d6/3682478410.jpg,3
/kaggle/working/sample_dataset/images/b9/c6/4825563278.jpg,2
/kaggle/working/sample_dataset/images/b9/d0/2954964781.jpg,13
/kaggle/working/sample_dataset/images/0c/b7/5659838404.jpg,15
/kaggle/working/sample_dataset/images/0c/bc/8499364323.jpg,2
