id,latitude,longitude
f1/53/233371247.jpg,58.369497,-134.364595
13/83/532677873.jpg,40.86503,-73.931829
a9/c9/6182760080.jpg,52.500439,13.452898
38/e2/6343684939.jpg,40.71455,-74.007118
a9/f9/8743587878.jpg,37.788735,-122.404796
6a/98/3161959577.jpg,36.563026,-118.279092
db/6d/9491206828.jpg,46.604375,-87.455415
18/aa/6327417800.jpg,38.984409,-3.93017
ea/71/5771964509.jpg,9.818682,-84.001121
11/db/4301950306.jpg,59.940578,30.311719
64/27/437262316.jpg,32.712217,-117.164511
37/43/109465483.jpg,37.773114,-122.451993
e2/d1/2447907491.jpg,33.678532,-116.227498
b9/74/8241781126.jpg,32.602519,-115.389602
b5/1b/3541459643.jpg,15.865085,-61.584634
aa/90/3838663308.jpg,31.75386,35.216674
33/6a/6955557756.jpg,49.8816,8.646386
47/af/8679524601.jpg,48.85959,2.402857
d5/d2/5680239165.jpg,51.5955,-0.232667
be/90/34874422.jpg,48.763883,21.639976
01/2e/13222968463.jpg,52.369677,-2.703951
9d/99/526462604.jpg,57.176935,10.436882
3f/9f/5932134908.jpg,40.569333,-105.075833
a4/08/239139970.jpg,-37.244814,144.45013
3b/cc/3493148593.jpg,29.303465,-94.79227
37/df/2770891187.jpg,37.349102,-5.993267
df/28/2969568997.jpg,28.02278,-15.646998
58/ed/3201920681.jpg,-34.865757,-58.074653
7d/ee/9330244602.jpg,45.477706,9.123458
76/7e/616899334.jpg,39.300299,139.921875
7f/7d/6156088799.jpg,59.451444,24.739608
1a/27/8105753613.jpg,52.36708,4.876166
7f/8f/4592632.jpg,33.510784,-112.028869
8a/17/9714349694.jpg,49.572744,15.739411
f9/48/5898077794.jpg,49.433305,11.123914
c9/c7/831871784.jpg,53.465326,-2.685406
5f/8b/6333269550.jpg,45.525667,-73.5825
dc/ee/13563502385.jpg,37.535024,126.994689
e5/bf/4838929693.jpg,40.81853,-96.7052
48/30/7112534053.jpg,45.739105,7.338438
84/50/5888961560.jpg,51.510093,-0.135624
7c/ec/6098551601.jpg,42.497222,-87.951423
28/c1/8641681497.jpg,41.408055,2.150315
bb/15/5982402731.jpg,34.026603,-118.379507
17/b0/8922460214.jpg,37.98548,23.722727
7a/34/5749622427.jpg,34.101944,-118.376945
0b/7a/8625746987.jpg,37.806851,-122.474368
84/80/6881716776.jpg,43.269167,-2.926429
82/c2/4303834150.jpg,50.085344,14.423675
91/94/8816324731.jpg,38.887667,-77.274333
b4/c3/6732493133.jpg,53.260815,-2.126828
8d/41/6324637213.jpg,29.845911,-99.672732
2b/48/2078507089.jpg,51.061404,-1.309733
a7/b6/454435864.jpg,41.905645,12.494201
9c/6b/5202286619.jpg,35.697107,139.583187
be/96/7976113388.jpg,40.2763,-74.602661
cc/69/4748908156.jpg,-23.41072,150.499434
58/c1/8562790802.jpg,35.706666,-83.524667
a6/72/11781674284.jpg,13.744208,100.54343
fa/12/4481751797.jpg,-32.416941,-63.255599
5b/01/12268107296.jpg,-34.608698,-58.377313
fe/24/2403419267.jpg,40.980456,29.024065
88/d3/2653442783.jpg,52.381048,4.896469
c3/66/8147998816.jpg,45.285304,-122.695312
c2/be/4818400676.jpg,38.700515,-109.574203
49/a3/9416599796.jpg,59.905827,10.737377
95/33/3247614775.jpg,45.52463,-122.68321
34/ba/3639698878.jpg,48.28719,13.161792
f3/33/5780930991.jpg,20.740437,-156.896159
5e/e4/6811715467.jpg,13.719874,80.112476
56/af/2891597389.jpg,60.169385,24.951356
5b/01/484082584.jpg,45.467625,9.286665
e4/da/4730012686.jpg,-35.310971,149.13346
23/c0/8552056756.jpg,42.369746,-83.074403
da/96/3742248304.jpg,42.332447,-7.8637
d9/8f/5208549929.jpg,53.38615,-1.482988
92/04/9032318345.jpg,47.489687,7.731499
18/bd/191806320.jpg,50.732625,4.294152
cb/bb/348327959.jpg,33.194526,-87.545413
14/04/13664897553.jpg,36.45056,140.016975
15/cb/202937456.jpg,45.997021,6.986103
48/c8/4286333407.jpg,40.766689,-73.978591
0d/9f/497830618.jpg,38.510027,23.943328
30/05/5442613071.jpg,41.693834,13.256652
53/38/3179073691.jpg,27.933602,-82.268028
45/cf/6189535017.jpg,52.401723,13.015231
e1/a2/3109273707.jpg,32.40171,-86.245712
1f/a1/225923657.jpg,57.037414,-5.685017
a0/40/2329194323.jpg,38.71669,-9.140163
bd/9c/4951786298.jpg,49.649514,7.345905
